Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
285000	5.0386864	3.2392831	2.6196726	1.5686955	1.0476581	0.6894576	0.4960609	0.0057098	0.0037373	0.0153630	0.0442631	0.0853127	0.1772519	-17.838
290000	5.1273340	3.2704817	2.7129374	1.4875670	1.0705879	0.7121105	0.5236832	0.0055435	0.0035408	0.0201301	0.2054612	0.0579348	0.0444450	-15.263
295000	5.0611999	3.1228737	2.3871495	1.5532136	0.9781128	0.6490536	0.4538188	0.0046538	0.0034452	0.0182475	0.1004729	0.0842153	0.0739224	-17.166
300000	5.0157246	3.2271677	2.5393504	1.5345905	1.0458699	0.7056594	0.5417848	0.0054008	0.0030635	0.0193426	0.1497346	0.0942139	0.0640650	-21.280
305000	5.0272633	3.2666827	2.4594380	1.4367100	1.0134658	0.7031337	0.5454496	0.0049424	0.0038052	0.0182263	0.0672804	0.0668683	0.0767888	-18.777
310000	5.2734600	3.2831508	2.5128056	1.3841033	1.0329690	0.7565050	0.5667301	0.0055241	0.0039339	0.0183063	0.0725756	0.1889941	0.0809628	-16.518
315000	5.2102318	3.2494858	2.6116235	1.3957615	1.0643347	0.7481415	0.5872859	0.0052674	0.0033550	0.0194922	0.0743914	0.0479581	0.0970113	-20.260
320000	5.0877541	3.1850290	2.4970408	1.6153914	1.1752605	0.7994504	0.6248876	0.0048099	0.0034087	0.0196509	0.0961058	0.0568526	0.1849539	-16.536
325000	5.0412925	3.2786776	2.6519221	1.4065615	1.3057978	0.7364333	0.5319446	0.0041528	0.0028449	0.0200166	0.1436759	0.1193970	0.0516269	-19.333
330000	5.0183403	3.2826531	2.6393874	1.6116014	1.0382165	0.7270626	0.5200887	0.0048931	0.0034031	0.0166404	0.0678450	0.0738575	0.0549674	-13.936
335000	5.1191482	3.2776785	2.6153109	1.3904200	1.0755434	0.6692145	0.4768982	0.0050681	0.0034172	0.0217671	0.1948902	0.0576667	0.1128150	-19.998
340000	5.0074883	3.2167490	2.4958790	1.3851207	1.0406039	0.6593869	0.5191011	0.0062917	0.0032947	0.0180450	0.1636205	0.0686887	0.1041475	-15.146
345000	5.1798902	3.0892468	2.4309538	1.4989092	1.0634369	0.7273208	0.5512341	0.0054911	0.0042828	0.0189868	0.1202656	0.0802869	0.0860114	-18.798
350000	5.1068785	3.2622220	2.5660888	1.5310469	1.1202095	0.6508582	0.4849782	0.0048937	0.0033283	0.0193907	0.0325819	0.0336668	0.0700094	-21.173
355000	5.4262589	3.2681606	2.5777207	1.4597709	1.1559093	0.6716970	0.4971851	0.0053737	0.0034117	0.0180405	0.0637192	0.1093730	0.1458536	-25.293
360000	5.1043496	3.2486909	2.5531944	1.4995677	1.1590549	0.7779486	0.5940371	0.0053866	0.0033865	0.0190310	0.1370802	0.0509971	0.1590853	-20.000
365000	5.0564567	3.1678130	2.6213952	1.4022147	1.0477357	0.6748802	0.5338418	0.0053223	0.0036124	0.0213358	0.0708811	0.0875053	0.1621182	-21.603
370000	5.1015696	3.2319041	2.4883353	1.4745945	1.0403619	0.6675605	0.5230753	0.0051548	0.0033864	0.0215516	0.0902500	0.0615010	0.1741197	-17.636
375000	5.0668121	3.2513870	2.6275902	1.7248163	1.1390230	0.7560527	0.5724629	0.0050903	0.0033700	0.0193529	0.0451472	0.0965782	0.1084275	-20.591
380000	5.0468592	3.2054574	2.6216465	1.7435379	1.1868916	0.8083439	0.6218605	0.0053979	0.0030439	0.0227923	0.0882658	0.0416984	0.1596141	-20.738
385000	5.0640397	3.1559601	2.4680229	1.4145481	0.9198050	0.6314455	0.4700568	0.0057925	0.0037951	0.0205251	0.0552052	0.0432445	0.1222949	-19.115
390000	5.0487567	3.2590102	2.5155793	1.3892352	0.9664563	0.6256409	0.4659913	0.0050783	0.0036060	0.0195879	0.0436943	0.0508332	0.0825397	-22.945
395000	5.0434287	3.2629594	2.5506155	1.4197389	1.1006889	0.6914642	0.5073678	0.0047039	0.0031248	0.0170903	0.0621294	0.0272835	0.0595322	-23.706
400000	5.0303651	3.2177923	2.6294278	1.5025893	1.1117809	0.6829379	0.5358367	0.0048259	0.0033168	0.0175201	0.0423029	0.1058012	0.1097563	-27.219
405000	5.1352823	3.2625293	2.5849351	1.4206872	1.0442030	0.6130373	0.4135041	0.0058778	0.0033330	0.0176163	0.0597582	0.0659534	0.0408687	-25.388
410000	5.1320829	3.2804276	2.6069755	1.3839128	1.0937281	0.6916161	0.5232633	0.0052220	0.0033315	0.0169189	0.0442109	0.0457624	0.0662800	-20.135
415000	5.2196561	3.2481349	2.5092020	1.4365744	1.0749168	0.6938012	0.5069287	0.0048970	0.0037920	0.0179012	0.1050140	0.0936571	0.0610894	-11.303
420000	5.0106515	3.2305350	2.4713855	1.4263445	1.1104485	0.7380459	0.5995250	0.0054065	0.0038295	0.0185565	0.0638570	0.0916895	0.1036116	-14.549
